context,scaled_dependencies
"Этика неотделима от философии уже при самом её возникновении. Этот термин впервые употреблён Аристотелем как обозначение особой области исследования практической философии, ибо она пытается ответить на вопрос: что мы должны делать? Основной целью нравственного поведения Аристотель называл счастье — деятельность души в полноте добродетели, то есть самореализацию. Самореализация человека — это разумные поступки, которые избегают крайностей и держатся золотой середины. Поэтому основные добродетели — это умеренность и благоразумие.",0.03
"Арабские завоевания в Магрибе с VII века не сильно изменили расовую картину, однако в значительной степени повлияли на культуру аборигенного населения[23]. Многие берберы утратили идентичность по мере интеграции в арабское общество и забыли свой родной язык. Однако сохранили культурные отличия в виде традиций и обычаев, которые сильно отличаются от культуры жителей Магриба. Самобытность берберов проявляется в особенностях традиционной одежды, народных танцев и песен, фольклоре и ремеслах[22]. Сохранившаяся среди туарегов и имеющая отчетливо выраженные геометрические формы графика языка (тафинаг) существовала уже 4 тыс. лет назад. В последнее время усилиями берберских культурно-просветительных организаций она возвращается в обиход и подкрепляет разговорные диалекты.",0.03
"Финики́я (от греч. Φοίνικες, фойникес, буквально страна пурпура ) — древнее государство, находившееся на восточном побережье Средиземного моря с центром в современном Ливане. Крайней северной точкой Финикии было устье реки Оронт, а южной — гора Кармель. На юге Финикия граничила с Израильским царством, а на Востоке и Севере — с Сирией. По Геродоту, Финикия простиралась от Посидия до Израильского царства. При Селевкидах её считали от Орфосии (устье Нар-Берида) до устья Нар-Зерка. Из более поздних географов одни (например, Страбон) считают Финикией весь берег до Пелусия, другие южную границу её помещают у Кесарии и Кармеля. Только римское позднее провинциальное деление распространило имя Финикии на прилегающие к полосе внутренние области до Дамаска, а впоследствии стало различать Финикию Приморскую от Ливанской. При Юстиниане даже Пальмира была включена в состав последней.",0.04
"Любовь к музыке унаследовала от матери младшая дочь Кокоулиных, Софья Васильевна (1878—1955): игре на фортепиано она обучалась под руководством матери и в Иркутском институте благородных девиц, а после его окончания вслед за старшим братом Яковом отправилась в столицу и была принята в Петербургскую консерваторию, где училась сначала у С. А. Малозёмовой, а затем у А. А. Розановой. Яков Кокоулин учился на естественном отделении физико-математического факультете Петербургского университета, где и познакомился со своим земляком Дмитрием Шостаковичем; сблизила их любовь к музыке. Как превосходного певца Яков представил Дмитрия Болеславовича своей сестре Софье, и в феврале 1903 года состоялась их свадьба. В октябре того же года у молодых супругов родилась дочь — Мария, в сентябре 1906-го — сын, названный Дмитрием, а три года спустя — младшая дочь, Зоя.",0.09
"Оплата деятельности подрядчика осуществляется из средств федерального государственного бюджета и других государственных бюджетных фондов. В зависимости от условий контракта, оплачиваться может либо только выпускаемая продукция по фиксированной закупочной цене (с издержками производства или без), либо сама продукция и вложенный труд привлечённых работников. В годы Второй мировой войны и в послевоенный период в США, оплата государством функции корпоративного менеджмента носила символический характер и составляла один доллар в год за одно предприятие (dollar-per-year basis). То есть выгодополучатель ориентировался, в первую очередь, на извлечение прибыли за счёт внедрения разного рода технологических инноваций, механизации и автоматизации труда, различных ноу-хау и других способов снижения затрат и времени производства продукции при сохранении её качества, — пропорционально затратному фонду и фонду полученной прибыли рассчитывалась зарплата привлечённых менеджеров.",0.09
"Некоторое проприетарное ПО как требует огромных финансовых затрат на создание и поддержание в нужном качестве, так и либо чрезвычайно сложно, либо содержит большое количество различных патентов из других источников, к примеру драйверы видеоускорителей. В свою очередь, из-за стартовой, малой процентной распространенности открытого решения, компания-производитель не способна существенно повысить финансирование, а значит, предоставить качественную поддержку этой области. Как результат, количество ПО, использующего и требующего качественных драйверов, невелико — что, соответственно, сдерживает распространенность открытых решений. В связи с тем, драйвера для видеоускорителей под Linux, хоть и предоставляются всеми крупными компаниями, но являются или полностью закрытыми и менее эффективными, чем их варианты под Windows, или открытыми, но сознательно создаваемыми менее производительными и функциональными.",0.09
"Регулярное телевещание ведётся в городе с 1950-х годов. Рязань стала первым в Советском Союзе городом, принявшим сигнал Центрального телевидения из Москвы. Сегодня Рязанский телерадиопередающий центр обеспечивает уверенный приём основных телеканалов на всей территории города и области. Первой и главной рязанской телекомпанией остаётся государственная телерадиокомпания Ока , конкуренцию которой в 1990-е годы составила телерадиокомпания Эхо . С начала XXI века в городе начало вещание ряд новых компаний: Край Рязанский , Девятый телеканал , и сеть кабельных каналов телекомпании Город .",0.03
"Один и тот же сайт может быть доступен по разным адресам и храниться на разных серверах. Копия оригинального сайта в таком случае называется зеркалом. Существует также понятие оффлайновая версия сайта — это копия сайта, которая может быть просмотрена на любом компьютере без подключения к компьютерной сети и использования серверного программного обеспечения (ПО). При разработке сайта его тестируют и отлаживают именно в оффлайновой версии, для того, чтобы не демонстрировать несуразицу и ошибки, просчёты большого проекта. Именно для тестирования в корпоративной сети, или в начале в Интернете с ограниченным доступом под паролем приглашаются опытные тестеры . Это позволяет ускорить производство больших проектов и отладить их для массового посетителя (пользователя).",0.05
"В 1960 году он с другом Крисом Чесли (англ. Chris Chesley) опубликовал несколько коротких рассказов в самодельном сборнике Люди, места и вещи (англ. People, Places and Things). Через год была опубликована вторая книга, Звёздные захватчики (англ. The Star Invaders). В 1966 году Кинг окончил среднюю школу и поступил в Университет штата Мэн, где познакомился со своей будущей женой — Табитой Спрус[29]. Среди преподавателей Кинга был известный литературовед Кэррол Террелл, в дальнейшем опубликовавший книгу о своём ученике Стивен Кинг: человек и художник (англ. Stephen King: man and artist; 1990). В 1970 году Кинг окончил университет со степенью бакалавра, и его признали негодным к военной службе. Первое время семья испытывала финансовые трудности, они жили на зарплату Кинга в прачечной, студенческую ссуду жены и редкие гонорары Кинга за публикации рассказов в журналах. В это время у них родились сын и дочь.",0.03
"Пиво, как правило, изготавливали в северных регионах, где климатические условия не позволяли выращивать виноград. В средние века оно считалось напитком бедняков, имело более низкий статус по сравнению с вином. Виноделы, естественно, противились строительству пивоварен и стремились поддержать престиж своей продукции. Уже в 1782—1786 гг. в Париже потребляли вина в 14 раз больше, чем пива. Многим пивоварам приходилось заниматься ещё и изготовлением сидра, чтобы не остаться в убытке, так как в периоды экономического роста их потребители неизменно переходили на вино.",0.03
"Традиционная китайская историография пишет, что все соседние с Китаем народы произошли от китайцев и, согласно китайской традиции, хунны возникли из смешения китайских эмигрантов в степь и степных кочевых племен. Китайцы сторонники полулегендарной династии Ся, кочевые племена хяньюнь и хуньюй. В III тыс. до н. э. китайцами правил мифический император Хуан-ди. Согласно китайским мифам, когда примерно в 1764 году до н. э. в Китае была свергнута династия Ся, Шун Вэй (淳維), сын последнего правителя Ся Цзе, бежал на север, и с ним бежали многие подданные. На южной окраине Гоби они встретили племена сяньюнь и хуньюй и со временем смешались с ними.",0.05
"Климат умеренный океанический. Благодаря тёплому атлантическому течению Гольфстрим температуры в Шотландии выше, чем в странах, пролегающих на той же параллели (чем, например, в Норвегии), но ниже, чем в других регионах Великобритании. Из-за неравномерного рельефа поверхности погода отличается крайней неустойчивостью. В самые холодные месяцы года — январь и февраль — средний температурный максимум составляет 5—7 °C. В самые тёплые месяцы — июль и август — 19 °C. Среднегодовое количество осадков колеблется от 3 000 мм на севере до 800 мм на юге. Для региона характерен юго-западный ветер, частые штормы на побережье и островах.",0.03
"В начале 1823 года Грибоедов на время покинул службу и вернулся на родину, в течение двух с лишним лет жил в Москве, в с. Дмитровском (Лакотцы) Тульской губернии, в Петербурге. Здесь автор продолжил начатую на Кавказе работу с текстом Горя от ума , к концу года написал стихотворение Давид , драматургическую сцену в стихах Юность Вещего , водевиль Кто брат, кто сестра, или Обман за обманом (в кооперации с П. А. Вяземским) и первую редакцию знаменитого вальса e-moll . К этому же периоду жизни Грибоедова принято относить и появление первых записей его Desiderata — журнала заметок по дискуссионным вопросам русской истории, географии и словесности.",0.1
"В 1860 г. после австро-итало-французской войны 1859 г. и присоединения к Сардинскому королевству Ломбардии, Пармы, Тосканы, Модены и Романьи Наполеон добился от сардинского правительства заключения Туринского договора, по которому сардинский король Виктор Эммануил II фактически передавал Франции Савойю вместе с Ниццей. Правда, при этом была соблюдена формальность плебисцита, но были приняты меры, чтобы плебисцит оказался в пользу присоединения. Уступка этой территории вызвала большое раздражение против правительства; его выразил в очень резкой речи Гарибальди, сам уроженец Ниццы.",0.08
"Кинг был в сознании, достаточном для того, чтобы дать номера родных заместителю шерифа для связи со своей семьей, но мучился от боли. Автор сначала попал в больницу Северного Камберленда в Бриджтоне, а затем на вертолёте был доставлен в Центральный Медицинский Центр Мэна в Льюистоне. У него было повреждено правое лёгкое, множественный перелом правой ноги, ранение головы и перелом бедренной кости, его держали на аппарате искусственного дыхания до 9 июля. Повреждения ноги были столь велики, что врачи изначально предлагали ампутацию, но им удалось спасти ногу благодаря жёсткой фиксации. После пяти операций за десять дней и физиотерапии Кинг вновь стал писать в июле, хотя его бедренная кость все ещё была сломана и он мог сидеть только около сорока минут, после чего боль усиливалась и вскоре становилась невыносимой[40]. Это событие он впоследствии описал в своих мемуарах Как писать книги и в седьмой части Тёмной Башни , в том числе введя в сюжет сакральные числа — 19 и 99. Кинг также принял участие в создании мини-телесериала из пятнадцати серий под названием Королевский Госпиталь , в котором фигурирует похожее событие.",0.07
"Разработку основ своих теорий Фредерик У. Тейлор начал в 1880-х — 1890-х годах: работая токарем и мастером в обрабатывающей промышленности в компании Midvale Steel, Тейлор заметил естественные различия в производительности рабочих, которые, по его мнению, были вызваны разными причинами, в том числе способностью, уровнем развития интеллекта и мотивации. Тейлор одним из первых попытался теоретизировать происходящее. То есть выявить, какие различия существовали и почему, как это можно объяснить с точки зрения передового опыта, и как это может быть распространено на другие отрасли через пошаговую стандартизацию процессов. Он считал, что принятие решений, основанное на традиции и эмпирических правилах, должно быть заменено точными процедурами, разработанными в ходе тщательного изучения каждого работника, в том числе через исследование времени и движений, которое направлено на выявление или разработку лучшего способа выполнения любой задачи. Цели и назначение состояли в увеличении производительности и снижении затрат.",0.08
"Мобильные архивные стеллажи представляют собой надежную и устойчивую конструкцию, которая используется в учреждениях, профиль деятельности которых связан с хранением большого количества документов в течение длительного времени. Мобильные архивные стеллажи предназначены для компактного хранения грузов небольшого размера. Они отличаются небольшой массой конструкции и эстетичный внешним видом. Стеллажи данного типа обычно используются для хранения бумажных архивов в банках, офисах, библиотеках, архивах и в любых помещениях, где необходимо максимально использовать площадь. Перемещение стеллажей приводится в движение вручную с помощью привода. На металлических архивных стеллажах можно хранить и обычные грузы.",0.03
"Согласно Болонскому процессу, в который вступила Россия, абитуриент поступает в вуз не на специальность (как было прежде), закрепленной за выпускающей (профилирующей) кафедрой, а на программу направления подготовки. При этом за каждой кафедрой закрепляется определённый содержательный фрагмент этой программы. И в этой ситуации важную роль роль играет выпускающая (профилирующая) кафедр, которая отвечает за специализацию студентов, программным путем координирует междисциплинарные связи, обеспечивает связь с профессиональным сообществом",0.06
"С 1872 по 1876 годы проходила первая научная океаническая экспедиция на английском парусно-паровом корвете Челленджер , были получены новые данные о составе вод океана, о растительном и животном мирах, о рельефе дна и грунтах, составлена первая карта глубин океана и собрана первая коллекция глубоководных животных. Кругосветная экспедиция на российском парусно-винтовом корвете Витязь 1886—1889 годов под руководством учёного-океанографа С. О. Макарова провела масштабную исследовательскую работу в Индийском океане. Большой вклад в исследование Индийского океана внесли океанографические экспедиции на немецких судах Валькирия (1898—1899) и Гаусс (1901—1903), на английском судне Дисковери II (1930—1951), советском экспедиционном судне Обь (1956—1958) и другие. В 1960—1965 под эгидой Межправительственной океанографической экспедицией при ЮНЕСКО была проведена международная Индоокеанская экспедиция. Она была самой крупной из всех экспедиций, когда-либо работавших в Индийском океане. Программа океанографических работ охватывала наблюдениями почти весь океан, чему способствовало участие в исследованиях ученых около 20 стран. В их числе: советские и зарубежные учёные на исследовательских судах Витязь , А. И. Воейков , Ю. М. Шокальский , немагнитной шхуне Заря (СССР), Наталь (ЮАР), Диамантина (Австралия), Кистна и Варуна (Индия), Зулфиквар (Пакистан). В результате были собраны новые ценные данные по гидрологии, гидрохимии, метеорологии, геологии, геофизике и биологии Индийского океана. C 1972 года на американском судне Гломар Челленджер проводились регулярные глубоководные бурения, работы по изучению перемещения водных масс на больших глубинах, биологические исследования.",0.07
"Семафоры могли передавать информацию с большей точностью, чем дымовые сигналы и маяки. Кроме того, они не потребляли топлива. Сообщения можно было передавать быстрее, чем их могли передавать гонцы, и семафоры могли обеспечивать передачу сообщений по целому региону. Но, тем не менее, как и прочие способы передачи сигналов на расстояние, они сильно зависели от погодных условий и требовали дневного света (Практичное электроосвещение появилось только в 1880 году). Они нуждались в операторах, и башни должны были быть расположены на расстоянии 30 километров друг от друга. Это было полезно для правительства, но слишком дорого для использования в коммерческих целях. Изобретение электрического телеграфа позволило снизить стоимость отправки сообщений в тридцать раз, кроме того, его можно было использовать в любое время суток, независимо от погоды.",0.05
"В 1913 году Уимблдонский турнир, и без того престижнейший в мире, получил новый статус от недавно созданной Международной федерации лаун-тенниса (ILTF). После своего формирования ILTF объявила об учреждении трёх чемпионатов мира по теннису: в помещениях, на твёрдых (грунтовых) кортах и на травяных кортах. Статус последнего автоматически получил Уимблдонский турнир, что официально делало его победителей во всех пяти разрядах чемпионами мира (хотя не все из них становились даже чемпионами Англии — формально Всеанглийский чемпионат в миксте проводился до 1938 года в Ливерпуле и Манчестере, а в женском парном разряде — до 1953 года в Бакстоне[en]). Остальные чемпионаты мира ILTF просуществовали до 1923 года, когда к организации присоединились американцы[23].",0.08
"При всей своей кажущейся простоте выделение силлогизмов из обычной человеческой речи произошло не сразу и не везде. Выделению силлогизмов как способа доказательства способствовало сочетание философии и математики, распространённое в Древней Греции. Первое формальное изложение понятия силлогизма и простейшей логической системы было сделано Аристотелем. Логика Аристотеля оставалась неизменной две тысячи лет, до начала XX века, когда исследования в математике и аналитической философии открыли дорогу для развития логики. Была формализована логика первого порядка или логика предикатов , которая к настоящему моменту хорошо изучена. Однако, как оказалось, для полноценного анализа философской аргументации, а тем более естественной человеческой речи требуется применение модальной логики и логик более высоких порядков, в частности логики второго порядка. Кроме этого взаимосвязь формального символического языка и естественной речи исследуют логическая семантика и семиотика. Эти дисциплины в совокупности с модальной логикой более высоких порядков продолжают оставаться областью активных междисциплинарных исследований. Современная логика состоит из нетривиальных, глубоко математических концепций, которые изучаются философами, математиками, лингвистами, а в последнее время ещё и программистами и специалистами в области теории решений и искусственного интеллекта. Логика, таким образом, является как одной из самых древних, так и одной из самых современных дисциплин.",0.05
"К роду Лён относятся больше ста видов, из которых самый важный — Лён обыкновенный, или прядильный (Linum usitatissimum L.) — однолетняя голая или почти голая (без волосков) трава; стебель высотой от 30 до 60 см, а в тёплых странах, например, в Индии, ещё выше; ветвится только в верхней части, в соцветии; листья очерёдные, узколанцетные; цветки собраны вверху в виде ложного зонтика; чашелистики заострённые, мелкореснитчатые; лепестки голубые с сероватым отливом, иногда белые, широколопатчатые, пыльники голубые, плодник (льняная головка в просторечии) почти шаровидный, семена глянцевитые.",0.31
"В четвёртой части говорилось о Луне, в пятой — о планетах вообще, а в шестой — о причинах изменения широт планет. В книге также содержались звёздный каталог, оценка размеров Солнца и Луны, расстояния до них и до планет (близкие к истинным), теория затмений. Надо специально отметить, что система Коперника (в отличие от системы Птолемея) давала возможность определить отношения радиусов планетных орбит. Этот факт, а также и то, что в описании движения планет выбрасывался первый и самый важный эпицикл, делало систему Коперника более простой и удобной, чем птолемеевская[25].",0.06
"С 1 января 2009 года курс белорусского рубля привязан к корзине валют, в состав которой включены доллар, евро и российский рубль в равных долях. Скрытая девальвация в Беларуси происходит из-за нестабильности экономической ситуации, массового оттока капитала, предпочтений населения к иностранной валюте и перевода в неё своих сбережений. С 22 октября 2011 года и по сегодняшний день в Республике Беларусь происходит скрытая девальвация белорусского рубля по отношению к иностранным твердым валютам. Каждый день на Белорусской фондовой бирже проводятся торги, по итогам которых, курс белорусского рубля: оставался неизменным или изменялся в сторону его понижения или повышения минимум к доллару США (до 20 июня 2013 года) и к Евро (по настоящее время); оставался неизменным или изменялся в сторону его понижения минимум на 10 д.е. к доллару США (с 20 июня 2013 года). 19 декабря 2014 года был введен 30-процентный сбор при покупке валюты юридическими и физическими лицами в связи с учетом возросшего спроса на валюту (на спрос повлияла девальвация российского рубля), на тот момент времени курс белорусского рубля (без учёта 30 % налога) составлял 10 890 Br/$, курс Евро — 13 390 Br/$. 5 января 2015 года ставка налога на сбор с покупки валюты была снижена до 10 %, курс белорусского рубля (без учёта 10 % налога) составлял 12 740 Br/$, курс Евро — 15 230 Br/$. 5 января, на Белорусской валютной бирже, курс доллара вырос на Br840, курс Евро на Br770. 8 января 2015 года ставка налога на сбор с покупки валюты будет составлять 0 %.",0.08
"1997 год был отмечен для Элтона Джона взлётами и неприятностями. В начале года певец предстал перед публикой во всем своем блеске во время празднования своего 50-летнего юбилея. Он организовал праздничную вечеринку для 500 наиболее близких друзей в стиле Людовика IV, на которой появился в костюме стоимостью 80 000 долларов США. 17 января 1997 года он принял участие с тремя оставшимися членами группы Queen в Париже в церемонии открытия концертной программы Le Presbytere N’a Rien Perdu De Son Charme Ni Le Jardin Du Son Éclat легенды французского балета Мориса Бежара, которая была посвящена памяти Фредди Меркьюри и Жорже Донна, звезды́ труппы Бежара. Это представление было вторым и последним случаем после смерти Фредди Меркьюри, когда остальные члены группы Queen собрались вместе на сцене. В конце 1997 года Элтон Джон потерял двух очень близких друзей: дизайнера Джанни Версачи (который был убит) и принцессу Диану, которая погибла в Париже в результате автомобильной катастрофы.",0.07
"Политический статус Квебека определён в конституции Канады. Провинция обладает полномочиями принимать законы во многих областях, в том числе имущественном и гражданском праве, отправлении правосудия, в сфере здравоохранения и образования. Периодически в Квебеке вспыхивают дебаты о статусе провинции. Сепаратисты настаивают на отделении Квебека, в то время как сторонники федерализма настаивают на сохранении статус-кво. Различные проекты конституционных реформ или независимости, в том числе референдумы 1980 и 1995 годов, не привели к отделению от Канады, но позволили провинции добиться значительной автономии в решении как внутренних, так и некоторых внешних (иммиграция) вопросов.",0.05
"Наибольшую склонность выказывал он к физическим занятиям, особенно к слесарному мастерству и к охоте. Несмотря на разврат окружавшего его двора, он сохранил чистоту нравов, отличался большой честностью, простотой в обращении и неприязнью к роскоши. С самыми добрыми чувствами вступал он на престол с желанием работать на пользу народа и уничтожить существовавшие злоупотребления, но не умел смело идти вперед к сознательно намеченной цели. Он подчинялся влиянию окружающих, то теток, то братьев, то министров, то королевы (Марии Антуанетты), отменял принятые решения, не доводил до конца начатых реформ.",0.06
"Многодневный проездной билет даёт право на многократный без ограничений проезд в метрополитене и в автобусах города в течение срока его действия. Отсчёт первых суток начинается в момент первого прохода через турникет метрополитена или автобуса независимо от времени суток, поэтому начинать использовать многодневный билет выгоднее с утра. В последний день действия билета через турникет метрополитена или автобуса можно пройти до полуночи. Но сам проездной блокируется на 18 минут, так что подряд 2 раза им воспользоваться не получится.",0.05
"Существуют различные теории происхождения обычно-правовых норм в человеческом обществе, которые сводятся к определению их авторами наличия или отсутствия детерминирующей роли государства в процессе зарождения правового регулятора в обществе. Первое направление связывает возникновение обычного права с периодом распада первобытного строя и становления государства. Такой позиции придерживались видные российские ученые дореволюционного периода Н. М. Коркунов, Г. Ф. Шершеневич и другие. В настоящее время эту теорию развивают российские ученые-этнографы В. П. Алексеев, А. И. Першиц, а также ученые-юристы А. Б. Венгеров, С. С. Алексеев и другие.",0.06
"Типичным способом представления данных по ветрам служат атласы и карты ветров. Эти атласы обычно составляются для климатологических исследований и могут содержать информацию как о средней скорости, так и об относительной частоте ветров каждой скорости в регионе. Обычно атлас содержит средние за час данные, измеренные на высоте 10 м и усредненные за десятки лет. Для отдельных потребностей используются и другие стандарты составления карт ветра. Так, для нужд ветроэнергетики измерения проводят на высоте более 10 м, обычно 30-100 м, и приводят данные в виде средней удельной мощности ветрового потока.",0.04
